??,??,???
result_data_only,1613,result-data-1538388
result_data_only,1617,result-data-3627437
result_data_only,1618,result-data-2637056
result_data_only,1620,result-data-2623413
result_data_only,1626,result-data-2119153
result_data_only,1633,result-data-2162294
result_data_only,1636,result-data-3392338
result_data_only,1639,result-data-273218
result_data_only,1654,result-data-226061
result_data_only,1664,result-data-971735
result_data_only,1689,result-data-672752
result_data_only,1696,result-data-2071296
result_data_only,1713,result-data-2487758
result_data_only,1714,result-data-1259265
result_data_only,1718,result-data-3392338
result_data_only,1725,result-data-1113261
result_data_only,1734,result-data-877423
result_data_only,1742,result-data-2416631
result_data_only,1748,result-data-3024418
result_data_only,1756,result-data-2678297
result_data_only,1766,result-data-2487758
result_data_only,1780,result-data-3789120
result_data_only,1790,result-data-146131
result_data_only,1795,result-data-511037
result_data_only,1831,result-data-2333331
result_data_only,1840,result-data-2377552
result_data_only,1841,result-data-2075639
result_data_only,1846,result-data-3960187
result_data_only,1849,result-data-3338224
result_data_only,1850,result-data-3749927
result_data_only,1858,result-data-2403045
result_data_only,1873,result-data-653443
result_data_only,1876,result-data-877423
result_data_only,1891,result-data-672752
result_data_only,1892,result-data-511037
result_data_only,1904,result-data-653443
result_data_only,1906,result-data-2298362
result_data_only,1914,result-data-1845057
result_data_only,1917,result-data-2075639
result_data_only,1929,result-data-3789120
result_data_only,1938,result-data-2146369
result_data_only,1943,result-data-226061
result_data_only,1948,result-data-2637056
result_data_only,1949,result-data-3024418
result_data_only,1970,result-data-877423
result_data_only,1981,result-data-3749927
result_data_only,1988,result-data-2492155
result_data_only,1989,result-data-2623413
result_data_only,1990,result-data-230996
result_data_only,1996,result-data-2333331
result_data_only,2006,result-data-552679
result_data_only,2012,result-data-556533
result_data_only,2018,result-data-2075639
result_data_only,2024,result-data-3627437
result_data_only,2029,result-data-3324843
result_data_only,2038,result-data-226061
result_data_only,2050,result-data-173748
result_data_only,2051,result-data-672752
result_data_only,2062,result-data-1351071
result_data_only,2076,result-data-2177658
result_data_only,2084,result-data-256924
result_data_only,2095,result-data-3749927
result_data_only,2100,result-data-2162294
result_data_only,2111,result-data-961547
result_data_only,2115,result-data-2333331
result_data_only,2123,result-data-3273691
result_data_only,2131,result-data-2071296
result_data_only,2143,result-data-672752
result_data_only,2154,result-data-552679
result_data_only,2156,result-data-2492155
result_data_only,2157,result-data-3556707
result_data_only,2163,result-data-3110275
result_data_only,2169,result-data-1206080
result_data_only,2185,result-data-2146369
result_data_only,2188,result-data-511037
result_data_only,2203,result-data-2487758
result_data_only,2215,result-data-961547
result_data_only,2223,result-data-971735
result_data_only,2235,result-data-2075639
result_data_only,2241,result-data-2333331
result_data_only,2250,result-data-2678297
result_data_only,2252,result-data-2637056
result_data_only,2261,result-data-261223
result_data_only,2264,result-data-1259265
result_data_only,2268,result-data-2623413
result_data_only,2282,result-data-273218
result_data_only,2302,result-data-2678297
result_data_only,2308,result-data-3338224
result_data_only,2311,result-data-1206080
result_data_only,2322,result-data-2075639
result_data_only,2330,result-data-914558
result_data_only,2336,result-data-1351071
result_data_only,2338,result-data-2403045
result_data_only,2370,result-data-1259265
result_data_only,2378,result-data-3556707
result_data_only,2389,result-data-2333331
result_data_only,2394,result-data-767290
result_data_only,2398,result-data-3627437
result_data_only,2400,result-data-2298362
result_data_only,2401,result-data-1206080
result_data_only,2408,result-data-725035
result_data_only,2435,result-data-3777606
result_data_only,2439,result-data-961547
result_data_only,2441,result-data-511037
result_data_only,2452,result-data-2119153
result_data_only,2453,result-data-2071296
result_data_only,2465,result-data-556533
result_data_only,2470,result-data-3556707
result_data_only,2473,result-data-261223
result_data_only,2483,result-data-173748
result_data_only,2484,result-data-3960820
result_data_only,2511,result-data-226061
result_data_only,2516,result-data-3556707
result_data_only,2521,result-data-2623413
result_data_only,2524,result-data-3110275
result_data_only,2532,result-data-2119153
result_data_only,2544,result-data-961547
result_data_only,2547,result-data-2377552
result_data_only,2551,result-data-2146369
result_data_only,2554,result-data-511037
result_data_only,2588,result-data-261223
result_data_only,2602,result-data-256924
result_data_only,2604,result-data-3024418
result_data_only,2607,result-data-3392338
result_data_only,2610,result-data-226061
result_data_only,2623,result-data-2623413
result_data_only,2630,result-data-2403045
result_data_only,2634,result-data-3338224
result_data_only,2637,result-data-173748
result_data_only,2641,result-data-3110275
result_data_only,2646,result-data-1845057
result_data_only,2647,result-data-3789120
result_data_only,2652,result-data-2637056
result_data_only,2657,result-data-2678297
result_data_only,2669,result-data-2071296
result_data_only,2671,result-data-146131
result_data_only,2672,result-data-834928
result_data_only,2689,result-data-1113261
result_data_only,2704,result-data-3960187
result_data_only,2715,result-data-672752
result_data_only,2718,result-data-230996
result_data_only,2733,result-data-1113261
result_data_only,2744,result-data-3273691
result_data_only,2751,result-data-552679
result_data_only,2753,result-data-3627437
result_data_only,2769,result-data-961547
result_data_only,2770,result-data-2746869
result_data_only,2776,result-data-725035
result_data_only,2788,result-data-3338224
result_data_only,2813,result-data-2678297
result_data_only,2819,result-data-914558
result_data_only,2835,result-data-767290
result_data_only,2837,result-data-511037
result_data_only,2838,result-data-937444
result_data_only,2840,result-data-146131
result_data_only,2845,result-data-3324843
result_data_only,2847,result-data-2403045
result_data_only,2852,result-data-2678297
result_data_only,2857,result-data-3392338
result_data_only,2860,result-data-1845057
result_data_only,2869,result-data-2403045
result_data_only,2876,result-data-552679
result_data_only,2881,result-data-3556707
result_data_only,2884,result-data-3777606
result_data_only,2886,result-data-264145
result_data_only,2887,result-data-3273691
result_data_only,2898,result-data-767290
result_data_only,2905,result-data-261223
result_data_only,2929,result-data-173748
result_data_only,2931,result-data-256924
result_data_only,2938,result-data-552679
result_data_only,2939,result-data-2416631
result_data_only,2956,result-data-3392338
result_data_only,2962,result-data-146131
result_data_only,2973,result-data-937444
result_data_only,2995,result-data-834928
result_data_only,2996,result-data-3789120
result_data_only,3012,result-data-653443
result_data_only,3021,result-data-261223
result_data_only,3025,result-data-2487758
result_data_only,3026,result-data-256924
result_data_only,3027,result-data-2075639
result_data_only,3031,result-data-3556707
result_data_only,3039,result-data-2377552
result_data_only,3054,result-data-3110275
result_data_only,3055,result-data-2333331
result_data_only,3067,result-data-3960187
result_data_only,3069,result-data-914558
result_data_only,3073,result-data-2416631
result_data_only,3086,result-data-3273691
result_data_only,3096,result-data-273218
result_data_only,3098,result-data-877423
result_data_only,3107,result-data-261223
result_data_only,3112,result-data-2377552
result_data_only,3115,result-data-937444
result_data_only,3129,result-data-2071296
result_data_only,3131,result-data-3556707
result_data_only,3142,result-data-1113261
result_data_only,3146,result-data-146131
result_data_only,3152,result-data-3324843
result_data_only,3162,result-data-2162294
result_data_only,3175,result-data-3273691
result_data_only,3183,result-data-834928
result_data_only,3192,result-data-1113936
result_data_only,3195,result-data-3960187
result_data_only,3197,result-data-961547
result_data_only,3199,result-data-3749927
result_data_only,3207,result-data-2416631
result_data_only,3208,result-data-1206080
result_data_only,3213,result-data-2487758
result_data_only,3217,result-data-3110275
result_data_only,3231,result-data-3324843
result_data_only,3244,result-data-3338224
result_data_only,3252,result-data-1168112
result_data_only,3266,result-data-1351071
result_data_only,3271,result-data-2986259
result_data_only,3275,result-data-725035
result_data_only,3282,result-data-2377552
result_data_only,3287,result-data-834928
result_data_only,3311,result-data-1538388
result_data_only,3314,result-data-2377552
result_data_only,3316,result-data-2075639
result_data_only,3336,result-data-1113261
result_data_only,3343,result-data-767290
result_data_only,3347,result-data-556533
result_data_only,3349,result-data-2416631
result_data_only,3351,result-data-2637056
result_data_only,3353,result-data-971735
result_data_only,3357,result-data-2162294
result_data_only,3360,result-data-1351071
result_data_only,3361,result-data-261223
result_data_only,3383,result-data-1113261
result_data_only,3404,result-data-653443
result_data_only,3406,result-data-3960187
result_data_only,3411,result-data-261223
result_data_only,3417,result-data-2678297
result_data_only,3421,result-data-3627437
result_data_only,3424,result-data-2487758
result_data_only,3425,result-data-511037
result_data_only,3427,result-data-2403045
result_data_only,3434,result-data-914558
result_data_only,3440,result-data-3324843
result_data_only,3450,result-data-1259265
result_data_only,3451,result-data-3556707
result_data_only,3455,result-data-2637056
result_data_only,3460,result-data-1168112
result_data_only,3475,result-data-3789120
result_data_only,3478,result-data-2162294
result_data_only,3494,result-data-877423
result_data_only,3500,result-data-1538388
result_data_only,3510,result-data-3627437
result_data_only,3513,result-data-511037
result_data_only,3517,result-data-230996
result_data_only,3521,result-data-2746869
result_data_only,3539,result-data-3960187
result_data_only,3545,result-data-3024418
result_data_only,3553,result-data-256924
result_data_only,3561,result-data-2403045
result_data_only,3567,result-data-2678297
result_data_only,3568,result-data-2637056
result_data_only,3585,result-data-1206080
result_data_only,3586,result-data-3110275
result_data_only,3592,result-data-3556707
result_data_only,3597,result-data-2637056
result_data_only,3603,result-data-264145
result_data_only,3607,result-data-2623413
result_data_only,3617,result-data-3392338
result_data_only,3626,result-data-552679
result_data_only,3629,result-data-3789120
result_data_only,3642,result-data-2403045
result_data_only,3647,result-data-3960187
result_data_only,3682,result-data-1113936
result_data_only,3686,result-data-1113936
result_data_only,3687,result-data-767290
result_data_only,3690,result-data-2986259
result_data_only,3693,result-data-2487758
result_data_only,3698,result-data-173748
result_data_only,3699,result-data-3110275
result_data_only,3705,result-data-3324843
result_data_only,3710,result-data-3749927
result_data_only,3711,result-data-2177658
result_data_only,3713,result-data-2678297
result_data_only,3717,result-data-2071296
result_data_only,3725,result-data-725035
result_data_special,8,result-data-special-256924
result_data_special,12,result-data-special-173748
result_data_special,28,result-data-special-273218
result_data_special,35,result-data-special-2492155
result_data_special,39,result-data-special-1206080
result_data_special,41,result-data-special-2333331
result_data_special,44,result-data-special-3324843
result_data_special,47,result-data-special-2071296
result_data_special,57,result-data-special-2403045
result_data_special,59,result-data-special-3110275
result_data_special,61,result-data-special-937444
result_data_special,64,result-data-special-3777606
result_data_special,79,result-data-special-3749927
result_data_special,81,result-data-special-2746869
result_data_special,87,result-data-special-725035
result_data_special,89,result-data-special-556533
result_data_special,95,result-data-special-3789120
result_data_special,96,result-data-special-1113261
result_data_special,97,result-data-special-2071296
result_data_special,100,result-data-special-2333331
result_data_special,106,result-data-special-2637056
result_data_special,121,result-data-special-264145
result_data_special,125,result-data-special-653443
result_data_special,143,result-data-special-2177658
result_data_special,144,result-data-special-2119153
result_data_special,146,result-data-special-2162294
result_data_special,155,result-data-special-3749927
result_data_special,168,result-data-special-1113261
result_data_special,175,result-data-special-173748
result_data_special,179,result-data-special-3110275
result_data_special,187,result-data-special-2492155
result_data_special,195,result-data-special-2071296
result_data_special,196,result-data-special-3273691
result_data_special,198,result-data-special-2146369
result_data_special,199,result-data-special-2333331
result_data_special,206,result-data-special-2678297
result_data_special,209,result-data-special-3338224
result_data_special,213,result-data-special-725035
result_data_special,215,result-data-special-877423
result_data_special,223,result-data-special-3556707
result_data_special,226,result-data-special-230996
result_data_special,236,result-data-special-2162294
result_data_special,249,result-data-special-937444
result_data_special,258,result-data-special-2146369
result_data_special,259,result-data-special-2487758
result_data_special,261,result-data-special-2333331
result_data_special,263,result-data-special-3960187
result_data_special,264,result-data-special-653443
result_data_special,277,result-data-special-2678297
result_data_special,281,result-data-special-1259265
result_data_special,282,result-data-special-2298362
result_data_special,301,result-data-special-2177658
result_data_special,306,result-data-special-261223
result_data_special,310,result-data-special-2487758
result_data_special,323,result-data-special-146131
result_data_special,325,result-data-special-3338224
result_data_special,327,result-data-special-2333331
result_data_special,328,result-data-special-1845057
result_data_special,331,result-data-special-3392338
result_data_special,342,result-data-special-767290
result_data_special,347,result-data-special-1168112
result_data_special,357,result-data-special-3777606
result_data_special,361,result-data-special-2119153
result_data_special,374,result-data-special-226061
result_data_special,385,result-data-special-552679
result_data_special,399,result-data-special-1168112
result_data_special,400,result-data-special-2746869
result_data_special,402,result-data-special-2075639
result_data_special,409,result-data-special-1113261
result_data_special,413,result-data-special-2623413
result_data_special,417,result-data-special-1845057
result_data_special,424,result-data-special-3749927
result_data_special,426,result-data-special-3960820
result_data_special,430,result-data-special-2333331
result_data_special,437,result-data-special-264145
result_data_special,455,result-data-special-3338224
result_data_special,460,result-data-special-1845057
result_data_special,469,result-data-special-2492155
result_data_special,476,result-data-special-2403045
result_data_special,483,result-data-special-2377552
result_data_special,490,result-data-special-261223
result_data_special,497,result-data-special-971735
result_data_special,498,result-data-special-2416631
result_data_special,499,result-data-special-273218
result_data_special,500,result-data-special-273218
result_data_special,503,result-data-special-230996
result_data_special,504,result-data-special-2623413
result_data_special,507,result-data-special-552679
result_data_special,510,result-data-special-3789120
result_data_special,513,result-data-special-2492155
result_data_special,520,result-data-special-2678297
result_data_special,523,result-data-special-1113261
result_data_special,524,result-data-special-3338224
result_data_special,527,result-data-special-173748
result_data_special,535,result-data-special-3110275
result_data_special,541,result-data-special-3749927
result_data_special,549,result-data-special-877423
result_data_special,559,result-data-special-2146369
result_data_special,565,result-data-special-2146369
result_data_special,570,result-data-special-2333331
result_data_special,574,result-data-special-2071296
result_data_special,580,result-data-special-3273691
result_data_special,587,result-data-special-2071296
result_data_special,592,result-data-special-3338224
result_data_special,595,result-data-special-3110275
result_data_special,605,result-data-special-1113261
result_data_special,612,result-data-special-173748
result_data_special,631,result-data-special-2492155
result_data_special,632,result-data-special-2678297
result_data_special,640,result-data-special-877423
result_data_special,642,result-data-special-3749927
result_data_special,651,result-data-special-2146369
result_data_special,653,result-data-special-2333331
result_data_special,654,result-data-special-3273691
result_data_special,672,result-data-special-672752
result_data_special,679,result-data-special-725035
result_data_special,680,result-data-special-2416631
result_data_special,681,result-data-special-2377552
result_data_special,691,result-data-special-1113936
result_data_special,695,result-data-special-653443
result_data_special,702,result-data-special-767290
result_data_special,710,result-data-special-1113261
result_data_special,716,result-data-special-2177658
result_data_special,722,result-data-special-3749927
result_data_special,724,result-data-special-877423
result_data_special,725,result-data-special-971735
result_data_special,728,result-data-special-1259265
result_data_special,736,result-data-special-552679
result_data_special,741,result-data-special-653443
result_data_special,744,result-data-special-2416631
result_data_special,752,result-data-special-3749927
result_data_special,754,result-data-special-2162294
result_data_special,760,result-data-special-173748
result_data_special,765,result-data-special-725035
result_data_special,768,result-data-special-971735
result_data_special,773,result-data-special-3324843
result_data_special,779,result-data-special-2986259
result_data_special,784,result-data-special-511037
result_data_special,789,result-data-special-3960820
result_data_special,797,result-data-special-3789120
result_data_special,809,result-data-special-2487758
result_data_special,830,result-data-special-226061
result_data_special,842,result-data-special-264145
result_data_special,845,result-data-special-3960820
result_data_special,852,result-data-special-3627437
result_data_special,855,result-data-special-3024418
result_data_special,856,result-data-special-3324843
result_data_special,860,result-data-special-3777606
result_data_special,861,result-data-special-937444
result_data_special,872,result-data-special-2403045
result_data_special,873,result-data-special-2377552
result_data_special,874,result-data-special-3110275
result_data_special,882,result-data-special-2403045
result_data_special,884,result-data-special-226061
result_data_special,888,result-data-special-3392338
result_data_special,893,result-data-special-3273691
result_data_special,903,result-data-special-1113261
result_data_special,904,result-data-special-230996
result_data_special,907,result-data-special-3024418
result_data_special,910,result-data-special-1206080
result_data_special,911,result-data-special-2637056
result_data_special,914,result-data-special-3960820
result_data_special,919,result-data-special-1259265
result_data_special,945,result-data-special-146131
result_data_special,953,result-data-special-230996
result_data_special,958,result-data-special-914558
result_data_special,961,result-data-special-2071296
result_data_special,964,result-data-special-2678297
result_data_special,968,result-data-special-3556707
result_data_special,972,result-data-special-971735
result_data_special,981,result-data-special-3338224
result_data_special,984,result-data-special-961547
result_data_special,989,result-data-special-2075639
result_data_special,1005,result-data-special-834928
result_data_special,1011,result-data-special-2162294
result_data_special,1021,result-data-special-937444
result_data_special,1029,result-data-special-725035
result_data_special,1031,result-data-special-552679
result_data_special,1035,result-data-special-2162294
result_data_special,1041,result-data-special-3024418
result_data_special,1044,result-data-special-1168112
result_data_special,1046,result-data-special-1259265
result_data_special,1056,result-data-special-3789120
result_data_special,1068,result-data-special-3324843
result_data_special,1074,result-data-special-1538388
result_data_special,1078,result-data-special-937444
result_data_special,1085,result-data-special-2986259
result_data_special,1087,result-data-special-2177658
result_data_special,1101,result-data-special-552679
result_data_special,1105,result-data-special-2298362
result_data_special,1114,result-data-special-971735
result_data_special,1115,result-data-special-3960820
result_data_special,1119,result-data-special-834928
result_data_special,1122,result-data-special-1351071
result_data_special,1127,result-data-special-672752
result_data_special,1128,result-data-special-226061
result_data_special,1140,result-data-special-146131
result_data_special,1156,result-data-special-1845057
result_data_special,1159,result-data-special-2377552
result_data_special,1161,result-data-special-2623413
result_data_special,1163,result-data-special-1259265
result_data_special,1175,result-data-special-264145
result_data_special,1176,result-data-special-2298362
result_data_special,1188,result-data-special-261223
result_data_special,1201,result-data-special-2487758
result_data_special,1202,result-data-special-256924
result_data_special,1216,result-data-special-1206080
result_data_special,1219,result-data-special-3110275
result_data_special,1223,result-data-special-2746869
result_data_special,1236,result-data-special-767290
result_data_special,1238,result-data-special-3627437
result_data_special,1239,result-data-special-230996
result_data_special,1240,result-data-special-914558
result_data_special,1247,result-data-special-256924
result_data_special,1250,result-data-special-937444
result_data_special,1258,result-data-special-2162294
result_data_special,1260,result-data-special-653443
result_data_special,1261,result-data-special-2177658
result_data_special,1263,result-data-special-3749927
result_data_special,1267,result-data-special-2071296
result_data_special,1272,result-data-special-511037
result_data_special,1279,result-data-special-511037
result_data_special,1290,result-data-special-1845057
result_data_special,1295,result-data-special-2377552
result_data_special,1303,result-data-special-725035
result_data_special,1306,result-data-special-3960187
result_data_special,1324,result-data-special-2986259
result_data_special,1329,result-data-special-1538388
result_data_special,1332,result-data-special-146131
result_data_special,1335,result-data-special-556533
result_data_special,1342,result-data-special-3273691
result_data_special,1345,result-data-special-961547
result_data_special,1352,result-data-special-264145
result_data_special,1353,result-data-special-3392338
result_data_special,1356,result-data-special-1845057
result_data_special,1360,result-data-special-3960820
result_data_special,1376,result-data-special-2746869
result_data_special,1377,result-data-special-2119153
result_data_special,1385,result-data-special-3627437
result_data_special,1403,result-data-special-2487758
result_data_special,1404,result-data-special-2637056
result_data_special,1418,result-data-special-173748
result_data_special,1426,result-data-special-1113261
result_data_special,1432,result-data-special-672752
result_data_special,1434,result-data-special-2298362
result_data_special,1437,result-data-special-2492155
result_data_special,1441,result-data-special-1259265
result_data_special,1445,result-data-special-2119153
result_data_special,1446,result-data-special-2623413
result_data_special,1454,result-data-special-230996
result_data_special,1456,result-data-special-2075639
result_data_special,1459,result-data-special-273218
result_data_special,1464,result-data-special-146131
result_data_special,1481,result-data-special-261223
result_data_special,1483,result-data-special-653443
result_data_special,1485,result-data-special-3338224
result_data_special,1488,result-data-special-3777606
result_data_special,1490,result-data-special-2678297
result_data_special,1493,result-data-special-273218
result_data_special,1497,result-data-special-2416631
result_data_special,1504,result-data-special-2075639
result_data_special,1514,result-data-special-3789120
result_data_special,1524,result-data-special-2333331
result_data_special,1532,result-data-special-1168112
result_data_special,1536,result-data-special-1538388
result_data_special,1541,result-data-special-3024418
result_data_special,1548,result-data-special-914558
result_data_special,1550,result-data-special-273218
result_data_special,1556,result-data-special-1168112
result_data_special,1568,result-data-special-552679
result_data_special,1581,result-data-special-2298362
result_data_special,1585,result-data-special-3627437
result_data_special,1587,result-data-special-3749927
result_data_special,1594,result-data-special-3556707
result_data_special,1597,result-data-special-2119153
result_data_special,1603,result-data-special-230996
result_data_special,1629,result-data-special-3110275
result_data_special,1631,result-data-special-2119153
result_data_special,1632,result-data-special-2623413
result_data_special,1637,result-data-special-1113936
result_data_special,1641,result-data-special-3392338
result_data_special,1644,result-data-special-2416631
result_data_special,1645,result-data-special-2637056
result_data_special,1655,result-data-special-3556707
result_data_special,1657,result-data-special-877423
result_data_special,1667,result-data-special-2377552
result_data_special,1676,result-data-special-2487758
result_data_special,1678,result-data-special-173748
result_data_special,1682,result-data-special-3749927
result_data_special,1690,result-data-special-2487758
result_data_special,1698,result-data-special-2298362
result_data_special,1701,result-data-special-3960187
result_data_special,1717,result-data-special-3777606
result_data_special,1722,result-data-special-264145
result_data_special,1723,result-data-special-877423
result_data_special,1726,result-data-special-1845057
result_data_special,1732,result-data-special-173748
result_data_special,1738,result-data-special-3960820
result_data_special,1750,result-data-special-2333331
result_data_special,1752,result-data-special-3627437
result_data_special,1754,result-data-special-2487758
result_data_special,1757,result-data-special-971735
result_data_special,1770,result-data-special-1113936
result_data_special,1779,result-data-special-2986259
result_data_special,1785,result-data-special-2333331
result_data_special,1788,result-data-special-2075639
result_data_special,1798,result-data-special-3110275
result_data_special,1799,result-data-special-264145
result_data_special,1804,result-data-special-2071296
result_data_special,1808,result-data-special-834928
result_data_special,1812,result-data-special-3324843
result_data_special,1814,result-data-special-3789120
result_data_special,1820,result-data-special-273218
result_data_special,1823,result-data-special-2403045
result_data_special,1827,result-data-special-226061
result_data_special,1837,result-data-special-2162294
result_data_special,1839,result-data-special-256924
result_data_special,1852,result-data-special-2678297
result_data_special,1862,result-data-special-2146369
result_data_special,1863,result-data-special-3324843
result_data_special,1864,result-data-special-2298362
result_data_special,1869,result-data-special-264145
result_data_special,1878,result-data-special-2986259
result_data_special,1884,result-data-special-3556707
result_data_special,1889,result-data-special-1168112
result_data_special,1913,result-data-special-961547
result_data_special,1923,result-data-special-511037
result_data_special,1924,result-data-special-2119153
result_data_special,1926,result-data-special-2333331
result_data_special,1927,result-data-special-230996
result_data_special,1934,result-data-special-2986259
result_data_special,1947,result-data-special-552679
result_data_special,1953,result-data-special-3960187
