???,??,???
result_data,196,result-data-special-3273691
result_data,197,result-data-normalWord-3324843
result_data,198,result-data-special-2146369
result_data,199,result-data-special-2333331
result_data,200,result-data-upWord-261223
result_data,201,result-data-3960187
result_data,202,result-data-downWord-3024418
result_data,203,result-data-free-2377552
result_data,204,result-data-downWord-3960187
result_data,205,result-data-downWord-3273691
result_data,206,result-data-special-2678297
result_data,207,result-data-downWord-3960820
result_data,208,result-data-downWord-1206080
result_data,209,result-data-special-3338224
result_data,210,result-data-normalWord-2637056
result_data,211,result-data-2146369
result_data,212,result-data-226061
result_data,213,result-data-special-725035
result_data,214,result-data-1259265
result_data,215,result-data-special-877423
result_data,216,result-data-downWord-3627437
result_data,217,result-data-downWord-2623413
result_data,218,result-data-normalWord-937444
result_data,219,result-data-free-3110275
result_data,221,result-data-upWord-1351071
result_data,222,result-data-upWord-3273691
result_data,223,result-data-special-3556707
result_data,224,result-data-2637056
result_data,225,result-data-downWord-556533
result_data,226,result-data-special-230996
result_data,227,result-data-free-173748
result_data,228,result-data-normalWord-3749927
result_data,229,result-data-normalWord-2071296
result_data,230,result-data-free-877423
result_data,231,result-data-normalWord-3024418
result_data,232,result-data-normalWord-3110275
result_data,233,result-data-free-3960820
result_data,234,result-data-downWord-3392338
result_data,235,result-data-downWord-226061
result_data,236,result-data-special-2162294
result_data,237,result-data-256924
result_data,238,result-data-2986259
result_data,239,result-data-normalWord-1259265
result_data,240,result-data-upWord-961547
result_data,241,result-data-downWord-2146369
result_data,242,result-data-free-1206080
result_data,243,result-data-normalWord-961547
result_data,244,result-data-556533
result_data,245,result-data-3392338
result_data,246,result-data-3556707
result_data,247,result-data-normalWord-3627437
result_data,248,result-data-downWord-2678297
result_data,249,result-data-special-937444
result_data,250,result-data-normalWord-256924
result_data,251,result-data-normalWord-2377552
result_data,252,result-data-upWord-834928
result_data,253,result-data-downWord-2119153
result_data,254,result-data-free-2377552
result_data,255,result-data-normalWord-2416631
result_data,256,result-data-downWord-1351071
result_data,257,result-data-free-2075639
result_data,258,result-data-special-2146369
result_data,259,result-data-special-2487758
result_data,260,result-data-downWord-173748
result_data,261,result-data-special-2333331
result_data,262,result-data-upWord-1168112
result_data,263,result-data-special-3960187
result_data,264,result-data-special-653443
result_data,265,result-data-upWord-1113936
result_data,266,result-data-free-3273691
result_data,267,result-data-free-3324843
result_data,268,result-data-free-1168112
result_data,269,result-data-upWord-2746869
result_data,270,result-data-upWord-3777606
result_data,271,result-data-downWord-3960187
result_data,272,result-data-653443
result_data,273,result-data-downWord-2746869
result_data,274,result-data-3789120
result_data,275,result-data-free-3960187
result_data,276,result-data-upWord-1538388
